mode,runId,clients,successfulClients,failedClients,viewsSent,viewsCompleted,incompleteViews,tiles,jpegBytes,lupaBinaryBytes,obsoleteTiles,obsoleteJpegBytes,releasesSent,firstUsefulN,firstUsefulMedianMs,firstUsefulP95Ms,doneN,doneMedianMs,doneP95Ms,errors
normal,e23-20260924T064058Z-c5-aggressive-normal-s230023,5,5,0,60,5,55,65,1163935,1174285,0,0,65,5,24.876,27.145,5,61.346,63.797,0
no-cancel,e23-20260924T064156Z-c5-aggressive-no-cancel-s230023,5,5,0,60,60,0,928,15762553,15910686,863,14598618,928,5,169.544,175.174,60,150.014,175.854,0
